GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
guldenj,org.guldenj.crypto,MnemonicException.MnemonicWordException,0,6,0,0,0,3,0,1,0,1
guldenj,org.guldenj.crypto,MnemonicCode,31,411,6,44,9,87,6,29,1,9
guldenj,org.guldenj.crypto,LinuxSecureRandom.LinuxSecureRandomProvider,12,0,0,0,3,0,1,0,1,0
guldenj,org.guldenj.crypto,DRMWorkaround,16,89,1,3,4,22,2,3,1,2
guldenj,org.guldenj.crypto,KeyCrypterScrypt,45,308,10,12,9,67,11,14,2,12
guldenj,org.guldenj.crypto,MnemonicException,0,7,0,0,0,4,0,2,0,2
guldenj,org.guldenj.crypto,TrustStoreLoader.DefaultTrustStoreLoader,74,27,4,2,20,10,4,3,1,3
guldenj,org.guldenj.crypto,TrustStoreLoader,0,3,0,0,0,1,0,1,0,1
guldenj,org.guldenj.crypto,KeyCrypterException,0,9,0,0,0,4,0,2,0,2
guldenj,org.guldenj.crypto,HDKeyDerivation.RawKeyBytes,0,9,0,0,0,4,0,1,0,1
guldenj,org.guldenj.wallet,DecryptingKeyBag,2,78,1,7,1,18,1,9,0,6
guldenj,org.guldenj.wallet,DefaultRiskAnalysis.Analyzer,0,11,0,0,0,2,0,2,0,2
guldenj,org.guldenj.wallet,WalletFiles,6,148,0,6,2,38,0,10,0,7
guldenj,org.guldenj.wallet,MarriedKeyChain,148,382,13,27,21,90,15,26,5,16
guldenj,org.guldenj.wallet,AllowUnconfirmedCoinSelector,0,13,0,2,0,5,0,4,0,3
guldenj,org.guldenj.wallet,FilteringCoinSelector,21,34,3,3,4,10,3,3,1,2
guldenj,org.guldenj.wallet,AbstractKeyChainEventListener,1,3,0,0,1,1,1,1,1,1
guldenj,org.guldenj.wallet,RedeemData,2,61,2,8,0,13,2,7,0,4
guldenj,org.guldenj.wallet,BasicKeyChain.State,9,39,0,0,0,4,2,2,2,2
guldenj,org.guldenj.wallet,MarriedKeyChain.Builder,24,97,6,10,2,19,5,8,0,5
guldenj,org.guldenj.wallet,WalletTransaction.Pool,5,53,0,0,0,5,1,3,1,3
guldenj,org.guldenj.wallet,RiskAnalysis.Result,9,39,0,0,0,4,2,2,2,2
guldenj,org.guldenj.wallet,WalletTransaction,0,17,0,0,0,6,0,3,0,3
guldenj,org.guldenj.wallet,DeterministicUpgradeRequiresPassword,0,3,0,0,0,1,0,1,0,1
guldenj,org.guldenj.wallet,DeterministicSeed,70,300,18,20,7,66,20,26,3,24
guldenj,org.guldenj.wallet,CoinSelection,0,9,0,0,0,4,0,1,0,1
guldenj,org.guldenj.wallet,DeterministicKeyChain.new Object() {...},4,29,0,0,0,1,0,1,0,1
guldenj,org.guldenj.wallet,BasicKeyChain.new Runnable() {...},0,20,0,0,0,3,0,2,0,2
guldenj,org.guldenj.wallet,DeterministicKeyChain.Builder,114,25,19,1,21,9,16,5,6,5
guldenj,org.guldenj.wallet,WalletFiles.new Callable() {...},2,30,1,1,1,5,1,2,0,2
guldenj,org.guldenj.wallet,DeterministicUpgradeRequiredException,0,3,0,0,0,1,0,1,0,1
guldenj,org.guldenj.wallet,DefaultRiskAnalysis,74,299,17,51,17,78,15,30,2,9
guldenj,org.guldenj.wallet,KeyChainGroup,68,1550,22,182,12,340,24,140,2,60
guldenj,org.guldenj.wallet,DeterministicKeyChain,354,2192,43,168,37,479,47,139,8,72
guldenj,org.guldenj.wallet,DefaultRiskAnalysis.RuleViolation,9,69,0,0,0,7,2,2,2,2
guldenj,org.guldenj.wallet,BasicKeyChain,244,1054,31,113,29,225,27,85,3,37
guldenj,org.guldenj.wallet,AllRandomKeysRotating,3,0,0,0,1,0,1,0,1,0
guldenj,org.guldenj.wallet,DefaultCoinSelector,0,106,1,19,0,24,1,14,0,5
guldenj,org.guldenj.wallet,KeyChain.KeyPurpose,5,53,0,0,0,5,1,3,1,3
guldenj,org.guldenj.wallet,DefaultKeyChainFactory,20,35,2,4,3,9,2,4,0,3
guldenj,org.guldenj.wallet,KeyTimeCoinSelector,25,91,4,10,7,23,4,7,0,4
guldenj,org.guldenj.wallet,DefaultCoinSelector.new Comparator() {...},0,59,0,4,0,14,0,4,0,2
guldenj,org.guldenj.net,FilterMerger.Result,0,3,0,0,0,1,0,1,0,1
guldenj,org.guldenj.net,AbstractTimeoutHandler.new TimerTask() {...},0,10,0,0,0,3,0,2,0,2
guldenj,org.guldenj.net,AbstractTimeoutHandler,0,58,0,6,0,17,0,8,0,5
guldenj,org.guldenj.net,BlockingClientManager,76,55,7,3,17,13,8,5,4,4
guldenj,org.guldenj.net,NioServer,146,139,4,10,14,43,2,10,0,5
guldenj,org.guldenj.net,NioClientManager,190,203,16,14,33,56,12,12,2,7
guldenj,org.guldenj.net,NioClient,11,39,0,0,4,8,2,2,2,2
guldenj,org.guldenj.net,ConnectionHandler,64,351,12,32,15,96,12,20,0,10
guldenj,org.guldenj.net,NioClientManager.new Executor() {...},0,14,0,0,0,3,0,2,0,2
guldenj,org.guldenj.net,NioClientManager.PendingConnect,0,18,0,0,0,2,0,1,0,1
guldenj,org.guldenj.net,FilterMerger,24,168,6,16,2,34,6,10,1,4
guldenj,org.guldenj.net,NioClient.new FutureCallback() {...},8,10,0,0,2,2,1,2,1,2
guldenj,org.guldenj.net,NioClient.Handler,9,66,3,3,4,22,4,6,1,6
guldenj,org.guldenj.net,BlockingClient,7,142,2,6,2,38,2,8,0,6
guldenj,org.guldenj.net,BlockingClient.new Thread() {...},23,115,2,8,2,20,1,6,0,2
guldenj,org.guldenj.net,ProtobufConnection,117,221,12,12,21,53,11,12,1,10
guldenj,org.guldenj.kits,WalletAppKit,918,0,114,0,197,0,90,0,33,0
guldenj,org.guldenj.kits,WalletAppKit.new FutureCallback() {...},35,0,2,0,6,0,4,0,3,0
guldenj,org.guldenj.kits,WalletAppKit.new Thread() {...},21,0,0,0,7,0,2,0,2,0
guldenj,org.bitcoin.crawler,PeerSeedProtos.SignedPeerSeeds,422,0,39,0,112,0,57,0,36,0
guldenj,org.bitcoin.crawler,PeerSeedProtos.PeerSeedData.Builder,432,0,46,0,125,0,53,0,30,0
guldenj,org.bitcoin.crawler,PeerSeedProtos.PeerSeeds,526,0,51,0,136,0,67,0,40,0
guldenj,org.bitcoin.crawler,PeerSeedProtos.SignedPeerSeeds.Builder,394,0,42,0,109,0,49,0,28,0
guldenj,org.bitcoin.crawler,PeerSeedProtos,98,0,0,0,14,0,4,0,4,0
guldenj,org.bitcoin.crawler,PeerSeedProtos.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
guldenj,org.bitcoin.crawler,PeerSeedProtos.PeerSeeds.Builder,844,0,100,0,231,0,96,0,46,0
guldenj,org.bitcoin.crawler,PeerSeedProtos.PeerSeedData,462,0,45,0,127,0,61,0,37,0
guldenj,org.bitcoin.crawler,PeerSeedProtos.PeerSeeds.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
guldenj,org.bitcoin.crawler,PeerSeedProtos.PeerSeedData.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
guldenj,org.bitcoin.crawler,PeerSeedProtos.SignedPeerSeeds.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
